Year,count,mean,std,min,25%,50%,75%,max
1996,1.0,0.106905,,0.106905,0.106905,0.106905,0.106905,0.106905
1997,1.0,0.102121875,,0.102121875,0.102121875,0.102121875,0.102121875,0.102121875
1998,1.0,0.085853125,,0.085853125,0.085853125,0.085853125,0.085853125,0.085853125
1999,1.0,0.06619875,,0.06619875,0.06619875,0.06619875,0.06619875,0.06619875
2000,1.0,0.06735375,,0.06735375,0.06735375,0.06735375,0.06735375,0.06735375
2001,1.0,0.06890990990990992,,0.06890990990990992,0.06890990990990992,0.06890990990990992,0.06890990990990992,0.06890990990990992
2002,1.0,0.07426952380952381,,0.07426952380952381,0.07426952380952381,0.07426952380952381,0.07426952380952381,0.07426952380952381
2003,1.0,0.07529047619047619,,0.07529047619047619,0.07529047619047619,0.07529047619047619,0.07529047619047619,0.07529047619047619
2004,1.0,0.06541333333333334,,0.06541333333333334,0.06541333333333334,0.06541333333333334,0.06541333333333334,0.06541333333333334
2005,1.0,0.06723714285714286,,0.06723714285714286,0.06723714285714286,0.06723714285714286,0.06723714285714286,0.06723714285714286
2006,1.0,0.061919417475728156,,0.061919417475728156,0.061919417475728156,0.061919417475728156,0.061919417475728156,0.061919417475728156
2007,1.0,0.06361650485436894,,0.06361650485436894,0.06361650485436894,0.06361650485436894,0.06361650485436894,0.06361650485436894
2008,1.0,0.06269207920792079,,0.06269207920792079,0.06269207920792079,0.06269207920792079,0.06269207920792079,0.06269207920792079
2009,1.0,0.08839266055045872,,0.08839266055045872,0.08839266055045872,0.08839266055045872,0.08839266055045872,0.08839266055045872
2010,1.0,0.07016697247706422,,0.07016697247706422,0.07016697247706422,0.07016697247706422,0.07016697247706422,0.07016697247706422
2011,1.0,0.0741168918918919,,0.0741168918918919,0.0741168918918919,0.0741168918918919,0.0741168918918919,0.0741168918918919
2012,1.0,0.07730743243243243,,0.07730743243243243,0.07730743243243243,0.07730743243243243,0.07730743243243243,0.07730743243243243
2013,1.0,0.07806148648648649,,0.07806148648648649,0.07806148648648649,0.07806148648648649,0.07806148648648649,0.07806148648648649
2014,1.0,0.07307065217391305,,0.07307065217391305,0.07307065217391305,0.07307065217391305,0.07307065217391305,0.07307065217391305
2015,1.0,0.07581875,,0.07581875,0.07581875,0.07581875,0.07581875,0.07581875
2016,1.0,0.0781225,,0.0781225,0.0781225,0.0781225,0.0781225,0.0781225
2017,1.0,0.07486233766233766,,0.07486233766233766,0.07486233766233766,0.07486233766233766,0.07486233766233766,0.07486233766233766
2018,1.0,0.064868125,,0.064868125,0.064868125,0.064868125,0.064868125,0.064868125
2019,1.0,0.06320875000000001,,0.06320875000000001,0.06320875000000001,0.06320875000000001,0.06320875000000001,0.06320875000000001
2020,1.0,0.056513125,,0.056513125,0.056513125,0.056513125,0.056513125,0.056513125
2021,1.0,0.059976875,,0.059976875,0.059976875,0.059976875,0.059976875,0.059976875
2022,1.0,0.060139374999999995,,0.060139374999999995,0.060139374999999995,0.060139374999999995,0.060139374999999995,0.060139374999999995
2023,1.0,0.05996312499999999,,0.05996312499999999,0.05996312499999999,0.05996312499999999,0.05996312499999999,0.05996312499999999
